BJD - 2454833, Corrected Flux
2777.704061745, 0.999914818,
2777.724493408, 0.999830599,
2777.744925171, 0.999868279,
2777.765356734, 0.999859538,
2777.785788396, 0.999794242,
2777.806220159, 0.999901243,
2777.826651722, 0.999883799,
2777.847083384, 0.999835030,
2777.867515147, 0.999813614,
2777.887946809, 0.999794386,
2777.908378372, 0.999916827,
2777.928810134, 0.999858843,
2777.949241796, 0.999877376,
2777.969673359, 0.999850007,
2777.990105121, 0.999808351,
2778.010536783, 0.999848672,
2778.030968545, 0.999746795,
2778.051400107, 0.999040224,
2778.071831769, 0.998807971,
2778.092263431, 0.998788252,
2778.112695093, 0.998771794,
2778.133126754, 0.998721993,
2778.153558416, 0.998805722,
2778.173990078, 0.998847286,
2778.194421640, 0.998884509,
2778.214853401, 0.999034308,
2778.235285063, 0.999990732,
2778.255716724, 0.999821995,
2778.276148386, 1.001300008,
2778.296580047, 0.999769001,
2778.317011808, 0.999764975,
2778.337443370, 0.999834847,
2778.357875031, 0.999765907,
2778.378306792, 0.999834382,
2778.398738453, 0.999861090,
2778.419170014, 0.999794516,
2778.439601775, 0.999832993,
2778.460033436, 0.999844852,
2778.480464997, 0.999830091,
2778.500896758, 0.999880801,
2778.521328419, 0.999859210,
2778.541759979, 0.999815713,
2778.562191740, 0.999798384,
2778.603055161, 0.999831781,
2778.623486722, 0.999731837,
2778.643918382, 0.999787616,
2778.664350143, 0.999803074,
2778.684781703, 0.999790942,
2778.705213364, 0.999746237,
2778.725645124, 0.999710106,
2778.746076684, 0.999760151,
2778.766508344, 0.999780234,
2778.786940105, 0.999740174,
2778.807371665, 0.999805134,
2778.827803325, 0.999889404,
2778.848234985, 0.999825358,
2778.868666645, 0.999841534,
2778.889098405, 0.999838326,
2778.909529965, 0.999834067,
2778.929961625, 0.999784086,
2778.950393384, 0.999876943,
2778.970825044, 0.999794584,
2778.991256604, 0.999812219,
2779.011688363, 0.999847139,
2779.032120023, 0.999804469,
2779.052551583, 0.999836728,
2779.072983342, 0.999805613,
2779.093415002, 0.999756188,
2779.113846761, 0.999739177,
2779.134278320, 0.999759885,
2779.154709980, 0.999729505,
2779.175141739, 0.999761102,
2779.195573298, 0.999771431,
2779.216004958, 0.999767646,
2779.236436717, 0.999759392,
2779.256868276, 0.999823757,
2779.277299935, 0.999791259,
2779.297731694, 0.999765956,
2779.318163253, 0.999740507,
2779.338594912, 0.999737003,
2779.359026671, 0.999813488,
2779.379458330, 0.999667591,
2779.399889989, 0.999701262,
2779.420321647, 0.999686311,
2779.440753306, 0.999677463,
2779.461184965, 0.999741106,
2779.481616624, 0.999685605,
2779.502048282, 0.999682433,
2779.522479941, 0.999744873,
2779.542911599, 0.999696524,
2779.563343258, 0.999749565,
2779.583774916, 0.999711502,
2779.604206575, 0.999710788,
2779.624638133, 0.999686503,
2779.645069891, 0.999686677,
2779.665501550, 0.999758781,
2779.685933308, 0.999734558,
2779.706364866, 0.999713672,
2779.726796524, 0.999713974,
2779.747228283, 0.999730898,
2779.767659841, 0.999729675,
2779.788091499, 0.999692259,
2779.808523257, 0.999739735,
2779.828954815, 0.999710615,
2779.849386473, 0.999709360,
2779.869818231, 0.999741310,
2779.890249789, 0.999689232,
2779.910681547, 0.999712858,
2779.931113204, 0.999653220,
2779.951544862, 0.999651658,
2779.971976520, 0.999729676,
2779.992408178, 0.999703906,
2780.012839835, 0.999648160,
2780.033271593, 0.999664745,
2780.053703151, 0.999675357,
2780.074134808, 0.999681686,
2780.094566566, 0.999674743,
2780.114998123, 0.999762039,
2780.135429781, 0.999703912,
2780.155861538, 0.999671100,
2780.176293096, 0.999674356,
2780.196724853, 0.999686311,
2780.217156510, 0.999698164,
2780.237588068, 0.999689712,
2780.258019825, 0.999691054,
2780.278451482, 0.999798080,
2780.319314797, 0.999689685,
2780.339746354, 0.999703044,
2780.360178011, 0.999702425,
2780.380609768, 0.999631198,
2780.401041325, 0.999586410,
2780.421472982, 0.999669231,
2780.441904739, 0.999639327,
2780.462336396, 0.999566704,
2780.482768053, 0.999557743,
2780.503199710, 0.999611488,
2780.523631367, 0.999623286,
2780.584926337, 0.999775172,
2780.605358094, 0.999840511,
2780.625789651, 0.999828716,
2780.646221308, 0.999868136,
2780.666653064, 0.999827050,
2780.687084621, 0.999820280,
2780.707516378, 0.999813300,
2780.727948034, 0.999769768,
2780.748379591, 0.999714943,
2780.768811347, 0.999653491,
2780.789243004, 0.999636061,
2780.809674560, 0.999687159,
2780.830106317, 0.999715707,
2780.850537973, 0.999708815,
2780.870969630, 0.999622755,
2780.891401286, 0.999701587,
2780.911832942, 0.999714017,
2780.932264599, 0.999704080,
2780.952696255, 0.999674963,
2780.973127911, 0.999694093,
2780.993559567, 0.999741101,
2781.013991224, 0.999775367,
2781.034422880, 0.999760799,
2781.054854536, 0.999777798,
2781.075286192, 0.999760477,
2781.095717848, 0.999789510,
2781.116149604, 0.999796286,
2781.136581161, 0.999809294,
2781.157012817, 0.999754407,
2781.177444573, 0.999767615,
2781.197876129, 0.999721835,
2781.218307885, 0.999765202,
2781.238739541, 0.999741453,
2781.259171097, 0.999759521,
2781.279602852, 0.999778454,
2781.300034508, 0.999757321,
2781.320466064, 0.999800227,
2781.340897820, 0.999793667,
2781.361329476, 0.999825905,
2781.381761032, 0.999765354,
2781.402192787, 0.999837315,
2781.422624443, 0.999844416,
2781.443056099, 0.999845770,
2781.463487755, 0.999823415,
2781.483919410, 0.999875504,
2781.504351166, 0.999860156,
2781.545214377, 0.999906711,
2781.565646133, 0.999924464,
2781.586077789, 0.999849579,
2781.606509344, 0.999874405,
2781.626941100, 0.999869490,
2781.647372755, 0.999874099,
2781.667804311, 0.999834763,
2781.688236066, 0.999806612,
2781.708667622, 0.999883462,
2781.729099377, 0.999858033,
2781.749531033, 0.999857758,
2781.769962588, 0.999992568,
2781.790394344, 1.000089098,
2781.810825999, 0.999947521,
2781.831257555, 0.999868583,
2781.851689310, 0.999881339,
2781.872120965, 0.999865320,
2781.892552521, 0.999851549,
2781.912984276, 0.999814593,
2781.933415931, 0.999861304,
2781.953847587, 0.999891606,
2781.974279242, 0.999773186,
2781.994710897, 0.999816405,
2782.015142652, 0.999897812,
2782.035574208, 0.999860299,
2782.056005863, 0.999848734,
2782.076437618, 0.999800121,
2782.096869273, 0.999898802,
2782.117300828, 0.999843310,
2782.137732584, 0.999676875,
2782.158164239, 0.999661103,
2782.178595794, 0.999731784,
2782.199027549, 0.999916852,
2782.219459204, 0.999698991,
2782.239890959, 0.999629585,
2782.280754169, 0.999709369,
2782.301185924, 0.999908020,
2782.321617480, 0.999901631,
2782.342049135, 0.999907902,
2782.362480890, 0.999804406,
2782.382912445, 0.999878841,
2782.403344100, 0.999773815,
2782.423775755, 0.999900383,
2782.444207410, 0.999952316,
2782.464639165, 0.999987303,
2782.485070720, 0.999929429,
2782.525934130, 0.999882768,
2782.546365684, 0.999873657,
2782.566797339, 0.999798918,
2782.587229094, 0.999744002,
2782.607660649, 0.999807394,
2782.628092304, 0.999766400,
2782.648524059, 0.999819822,
2782.668955714, 0.999883938,
2782.689387269, 0.999932362,
2782.709819024, 0.999850062,
2782.730250679, 1.000081948,
2782.771113988, 0.999951120,
2782.791545643, 0.999966400,
2782.811977398, 0.999938229,
2782.832408953, 0.999917245,
2782.852840608, 0.999974751,
2782.873272362, 0.999924266,
2782.893703917, 0.999887349,
2782.914135572, 0.999942615,
2782.934567327, 0.999915544,
2782.954998882, 0.999963890,
2782.975430636, 0.999896400,
2782.995862291, 0.999930405,
